Word,Count
the,3484
to,2752
----------------------------------------------------------------------------------------------------------------------,2488
OR,2240
THE,1920
of,1827
is,1354
OF,1280
IN,1280
and,1224
Software,962
$,960
SOFTWARE,960
in,815
this,811
a,768
This,740
Lozada-Benavente,678
file,674
without,645
copies,644
notice,640
FOR,640
ANY,640
OTHER,640
be,552
by,534
Elías,479
,445
*,433
following,423
The,420
or,381
all,364
copy,356
do,337
part,336
any,335
A,332
source,329
NOT,329
included,326
files,324
free,324
including,324
Copyright,323
(the,323
and/or,322
\use,\,322
BE,321
software,321
associated,321
shall,321
above,321
\granted,\,320
\CONTRACT,\,320
whom,320
\CLAIM,\,320
\charge,\,320
\IS"\,\,320
EVENT,320
COPYRIGHT,320
AUTHORS,320
IS,320
\distribute,\,320
HOLDERS,320
\LIABILITY,\,320
FITNESS,320
PARTICULAR,320
\FROM,\,320
ACTION,320
$Author:,320
\restriction,\,320
substantial,320
deal,320
furnished,320
rights,320
WARRANTY,320
sell,320
Permission,320
\modify,\,320
copyright,320
\IMPLIED,\,320
hereby,320
subject,320
AN,320
TO,320
AND,320
NONINFRINGEMENT,320
person,320
NO,320
\KIND,\,320
$Revision:,320
\OTHERWISE,\,320
\publish,\,320
documentation,320
LIABLE,320
persons,320
BUT,320
INCLUDING,320
\sublicense,\,320
ARISING,320
\Software,\,320
CONNECTION,320
\"\Software"\),\,320
USE,320
conditions:,320
permission,320
\copy,\,320
limitation,320
WITHOUT,320
@file,320
\merge,\,320
OUT,320
portions,320
\"\AS\,320
LIMITED,320
(c),320
TORT,320
PURPOSE,320
DAMAGES,320
WHETHER,320
PROVIDED,320
\so,\,320
permit,320
\MERCHANTABILITY,\,320
SHALL,320
DEALINGS,320
WITH,320
EXPRESS,320
WARRANTIES,320
obtaining,320
class,319
$Date:,318
E3,317
Created,317
2010-2014,305
methods,305
that,238
Project,224
defines,221
ElÃ­as,200
for,192
=,154
const;,144
on,143
/,141
1,134
void,133
has,120
not,118
types,117
as,113
&,111
used,110
note,110
an,109
initialization,109
const,105
Please,105
it,104
declares,104
functions,103
thread,102
finalization,102
contract:,100
Engine,99
usage,99
2,98
with,96
//,96
time,92
test,87
-,85
accessors,78
Accessors,78
if,78
Create,77
faster,77
are,76
interface,75
size,75
U32,74
library,74
template,71
macro,70
from,68
default,68
Methods,67
0,67
must,67
bool,67
can,66
<<,64
count,61
value,61
declarations,59
type,58
pointer,58
Auxiliary,57
3,56
static,55
using,55
buffer,52
will,51
operator,51
constructor,51
definitions,51
v);,50
use,49
array,48
------------------------------------------------------------------------------------------------------------------,48
object,46
function,46
defined,46
have,45
point,45
friend,45
method,45
operators,44
memory,44
version,43
which,43
assertion,43
messages,43
we,42
T,42
private,42
AllocatorClass>&,41
{,40
rotation,40
its,40
-----------------------------------------------------------------,40
Vector3<T>&,40
new,39
section],39
only,39
[Critical,39
\CharArray<CharType,\,38
global,38
\CharList<CharType,\,38
other);,37
when,37
Note,37
based,36
SharedPtr,36
return,36
+,36
than,36
POD,35
implementation,35
Update,35
does,35
original,34
},33
current,33
axis,33
reference,33
(already,32
Original,32
Thread,31
\a,\,31
parameter,31
tested),31
order,31
19-Apr-2014,31
<typename,30
assignment,30
access,30
\CharType,\,30
string,30
Windows,30
4,29
may,29
allows,29
T&,29
list,29
created,29
classes,29
through,28
also,28
\"\\,28
char*,28
@throw,27
number,27
pending,27
Operators,27
tasks,27
should,27
window,27
b);,27
system,26
time:,26
shader,26
If,26
uses,26
Based,25
elements,25
matrix,25
utility,25
other),25
conversion,24
destruction,24
task,24
ms],24
same,24
these,24
Vector2<T>&,24
state,24
T*,23
allocator,23
COM,23
ms,23
data,23
concrete,23
compatible,22
other,22
Forward,22
32,22
values,22
map,22
comparison,22
call,22
Size>,22
Vector4<T>&,21
maximum,21
GCRef,21
vertex,21
TestList,21
alternative,21
nothing,21
up,21
instead,21
Compute,21
required,21
It,20
Sets,20
implements,20
Vector3<T>,20
called,20
API,20
Set,20
Quaternion<T>&,20
Render,20
List,20
SRV,20
iterations,20
threads,20
pItem,19
allocation,19
objects,19
operator==(const,19
WeakPtr,19
so,19
code,19
Remove,19
operator!=(const,19
DynamicArray,19
application,19
Macro,19
==,19
there,18
greater,18
platform,18
Map,18
no,18
size);,18
CharArray,18
around,18
Find,18
Application,18
In,18
resource,18
vectors,18
element,17
working,17
auxiliary,17
bit,17
Clear,17
range,17
view,17
returns,17
v),17
you,17
Check,16
Riesgo,16
AllocatorClass>,16
device,16
ThreadPool,16
Size>&,16
between,16
unique,16
already,16
6,16
arrays,16
argument,16
destructor,16
GCPtr,16
------------------------------------------------------------------------------------------------------------------------,16
-------------------------------------------------------------------------------,16
max,16
Ángel,16
[],16
basic,15
index,15
counter,15
Relying,15
first,15
2010-2012,15
user,15
raw,15
For,15
need,15
macros,15
Matrix4<T>&,15
calls,15
camera,15
mesh,15
IRunnable,15
Elapsed,15
vector,15
29-Jan-2010,15
empty,15
work,14
always,14
Succeeded,14
create,14
child,14
ms),14
been,14
QuickSort,14
Math,14
just,14
main,14
constant,14
15-Nov-2011,14
Max,14
otherwise,14
ensure,14
Graphics,14
at,14
namespace,13
0;,13
elapsed,13
expected,13
RenderManager,13
template<typename>,13
each,13
serialization,13
define,13
factory,13
Vector4<T>,13
5,13
member,13
vertices,13
initialized,13
input,13
true,13
zero,13
before,13
two,13
D64,13
header,13
Note:,13
Time,13
MUST,13
texture2D,13
combination,13
requires,13
IntroSort,13
delete,13
On,13
calling,12
passed,12
IntrusivePtr,12
hash,12
due,12
include,12
QS,12
\F32,\,12
However,12
DX11,12
would,12
specializations,12
Iterator,12
thread-safe,12
Mutex,12
libraries,12
while,12
Matrix4,12
DLL,12
different,12
I32,12
after,12
pre,12
allocated,12
false,12
avoid,12
i,12
whether,12
condition,12
16-Sep-2013,12
64,11
DX11Texture2D,11
Bind,11
DX11Buffer,11
ISceneManager,11
IRenderManager,11
accessor,11
inverse,11
8,11
fact,11
GCStaticPtr,11
contains,11
compilation,11
Clean,11
until,11
definition,11
register,11
algorithm,11
some,11
contained,11
sphere,11
explicit,11
Floating,11
intended,11
viewport,11
Vector2,11
rare,11
implement,11
std::cout,11
distance,11
but,11
CharList,11
(updated,11
ray,11
added,11
because,11
Quaternion,11
Vector2<T>,11
index);,11
operator+(const,11
F32,11
singleton,11
entry,10
Queue,10
GenericFactory,10
set,10
StringBuffer,10
Vector4,10
subscriber,10
smart,10
ObjectCore,10
right,10
CPU,10
garbage,10
Type,10
mutex,10
local,10
minimum,10
running,10
them,10
initializer,10
instance,10
Insert,10
\pData,\,10
ops:,10
Iteration:,10
C++,10
their,10
construction,10
purpose,10
being,10
CharType*,10
(U32,10
compiled,10
Implementation,10
iteration,10
triangle,10
dynamic,10
heap,10
world,10
class:,10
Do,10
