Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,323,50424,27787,16245,1947,6878,203,15759,93138,9162,66790
D:\Dropbox\E\Projects\e3project - VS2013\Code,323,50424,27787,16245,1947,6878,203,15759,93138,9162,66790
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore,101,21545,12535,6826,1035,2799,95,6211,38350,2930,22285
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest,52,8671,4699,3230,318,1251,32,2721,15085,1508,10367
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source,52,8671,4699,3230,318,1251,32,2721,15085,1508,10367
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test,49,8356,4528,3173,316,1211,29,2617,14422,1421,9751
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Containers,12,2567,1468,963,162,360,12,739,3928,348,2388
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\EventSystem,2,254,142,106,4,45,0,67,410,58,398
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\FileSystem,2,212,108,76,10,35,0,69,434,58,398
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Math,10,1788,869,627,41,222,5,697,3677,290,1990
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Memory,6,879,514,338,29,144,1,221,1350,174,1194
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Serialization,2,377,240,202,12,59,0,78,425,58,398
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\SmartPointers,6,1084,665,457,32,170,6,249,1493,174,1194
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Text,4,722,307,263,8,96,0,319,1632,116,796
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Threads,2,234,111,80,13,41,1,82,454,58,398
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCoreTest\Source\Test\Time,2,154,63,41,5,27,0,64,406,58,398
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Build,1,15,8,0,0,2,0,5,16,5,16
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include,72,17622,10531,5689,842,2266,60,4825,29609,2098,16376
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\Application,3,343,193,83,0,37,0,113,661,79,624
