File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\IntrusivePtr.h,IntrusivePtr<T>::IntrusivePtr(T* ptr),6,6,4,1,0,0,0,0,
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\IntrusivePtr.h,IntrusivePtr<T>::IntrusivePtr(const IntrusivePtr& other),6,6,4,1,0,0,0,0,
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\IntrusivePtr.h,IntrusivePtr<T>::~IntrusivePtr(),5,5,3,1,0,0,0,0,
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\IntrusivePtr.h,IntrusivePtr<T>::operator=(const IntrusivePtr& other),3,3,3,1,0,0,0,0,
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\IntrusivePtr.h,IntrusivePtr<T>::operator=(T* ptr),3,3,3,1,0,0,0,0,
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\IntrusivePtr.h,IntrusivePtr<T>::operator*() const,3,3,3,1,0,0,0,0,
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\IntrusivePtr.h,IntrusivePtr<T>::operator->() const,3,3,3,1,0,0,0,0,
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\IntrusivePtr.h,IntrusivePtr<T>::operator==(const T* ptr) const,2,2,2,1,0,0,0,0,
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\IntrusivePtr.h,IntrusivePtr<T>::operator!=(const T* ptr) const,2,2,2,1,0,0,0,0,
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\IntrusivePtr.h,IntrusivePtr<T>::GetPtr() const,2,2,2,1,0,0,0,0,
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\IntrusivePtr.h,IntrusivePtr<T>::IsUnique() const,2,2,2,1,0,0,0,0,
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\IntrusivePtr.h,IntrusivePtr<T>::Swap(IntrusivePtr& other),4,4,4,0,0,0,0,0,
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\IntrusivePtr.h,mCounter(0),1,1,1,0,0,0,0,0,
D:\Dropbox\E\Projects\e3project - VS2013\Code\eCore\Include\IntrusivePtr.h,mCounter(0),1,1,1,0,0,0,0,0,
